longitude,latitude,station,value,area,purpose,height,color,areatype,datatype
139.68459,35.69832,中野坂上・360,69.6,241,住宅,696,5,residence,price
139.68558,35.70889,東中野・350,62.0,161,住宅,620,4,residence,price
139.66576,35.72224,沼袋・550,46.2,132,住宅,462,3,residence,price
139.66078,35.71073,中野・820,60.2,170,共同住宅,602,4,residence,price
139.64104,35.72442,鷺ノ宮・70,76.5,171,店舗、診療所兼住宅,765,5,business,price
139.64104,35.72442,都立家政（近接）,64.9,67,店舗兼共同住宅,649,5,business,price
139.65292,35.72274,野方・650,61.0,456,共同住宅,610,4,business,price
139.67006,35.70142,新中野・460,99.6,177,店舗兼共同住宅,996,6,business,price
139.66580,35.68409,中野富士見町・1000,60.0,75,店舗兼住宅,600,4,business,price
139.66736,35.71207,中野・680,102.0,137,店舗兼共同住宅,1020,6,business,price
139.66904,35.70640,中野・70,390.0,60,店舗兼住宅,3900,8,business,price
139.67596,35.69528,中野坂上・410,127.0,264,店舗兼共同住宅,1270,7,business,price
139.65143,35.72168,野方・70,69.7,119,店舗、事務所兼共同住宅,697,5,business,price
139.66637,35.68645,中野富士見町・460,75.7,178,事務所兼共同住宅,757,5,business,price
139.65642,35.70739,高円寺・820,52.5,134,住宅,525,4,residence,price
139.65201,35.70412,高円寺・320,60.5,74,住宅,605,4,residence,price
139.65236,35.68828,方南町・440,49.6,347,共同住宅,496,3,residence,price
139.64618,35.67153,永福町・360,59.2,108,住宅,592,4,residence,price
139.59990,35.69975,西荻窪・700,54.9,191,共同住宅,549,4,residence,price
139.61188,35.68562,富士見ヶ丘・220,52.3,133,住宅,523,4,residence,price
139.59651,35.68305,久我山・570,66.0,3566,共同住宅,660,5,residence,price
139.61295,35.71157,荻窪・1100,46.1,204,住宅,461,3,residence,price
139.61472,35.69588,荻窪・1000,56.9,195,住宅,569,4,residence,price
139.62057,35.69733,荻窪・890,59.0,141,住宅,590,4,residence,price
139.62210,35.70163,荻窪・430,61.3,217,住宅,613,4,residence,price
139.63759,35.69647,南阿佐ケ谷・300,56.0,141,住宅,560,4,residence,price
139.64418,35.70822,高円寺・900,54.0,82,住宅,540,4,residence,price
139.63866,35.69024,西永福・1200,43.5,146,住宅,435,3,residence,price
139.59087,35.71268,西荻窪・1100,48.0,219,住宅,480,3,residence,price
139.58864,35.71860,上石神井・1100,48.0,113,住宅,480,3,residence,price
